Name                             ,Level Sync ,Location
Hide and Seek (FATE),29,South Shroud
The Coeurl King,29,South Shroud
To Train a Tortoise,30,South Shroud
Fate is a Fecal Mistress,31,South Shroud
Clearing the Hive,32,South Shroud
Defending the Hive,32,South Shroud
Keeping the Hive,32,South Shroud
A Tale of Two-tails,32,South Shroud
Breaching the Hive,32,South Shroud
Rogue on the Water,33,South Shroud
Eft for Dead,34,South Shroud
What Gored Before,46,South Shroud
Breaking Bud,3,North Shroud
Dschubba Snacks,3,North Shroud
No Birds Allowed,5,North Shroud
The Magical Fruit,7,North Shroud
Micromanaging,8,North Shroud
The Big Issue,25,North Shroud
Hare Today,27,North Shroud
It Ziz What It Is,27,North Shroud
Waiting for a Moon to Fall,28,North Shroud
That Which Binds Us (FATE),28,North Shroud
Don't Disturb This Grove,37,North Shroud
Smells Like Tree Spirit,37,North Shroud
Air Supply,47,North Shroud
Rude Awakening,48,North Shroud
Let them Eat Cactus,5,Central Thanalan
Like an Eft out of Water,5,Central Thanalan
Something to Prove,5,Central Thanalan
Survivor Rats,6,Central Thanalan
Big Time,7,Central Thanalan
Wrecked Rats,7,Central Thanalan
A Warm Welcome (FATE),7,Central Thanalan
Cracked,9,Central Thanalan
For the Queen,9,Central Thanalan
A Few Arrows Short of a Quiver,11,Central Thanalan
Leaving the Nest,12,Central Thanalan
Cold-blooded,14,Central Thanalan
Orobon Part Two: The Spawning,14,Central Thanalan
A Matter of Rust,5,Western Thanalan
Needles to Slay,5,Western Thanalan
Things that Make You Go Home,6,Western Thanalan
Please Hammers Don't Hurt Them,8,Western Thanalan
Deface the Facts,8,Western Thanalan
The Cores,8,Western Thanalan
Doomed,9,Western Thanalan
The Villain,9,Western Thanalan
Copied Peistes,10,Western Thanalan
Dog Eat Dog,10,Western Thanalan
Pound for Pound,10,Western Thanalan
Bigger Fish to Fry,13,Western Thanalan
Bubble Trouble,13,Western Thanalan
Staying Dead,20,Western Thanalan
There Might Be Giants,21,Western Thanalan
He's Got Legs (FATE),22,Western Thanalan
Tripped up by the Fruit of Another,22,Western Thanalan
Juggernaut Down,23,Western Thanalan
License to Quill,15,Eastern Thanalan
Grim Undertakings,17,Eastern Thanalan
Simple Minds,17,Eastern Thanalan
Almost Paradise,17,Eastern Thanalan
Bazaar Blood Triangle,17,Eastern Thanalan
Deep in the Heart of Sagolii,17,Eastern Thanalan
Bad Camp,18,Eastern Thanalan
Westward Bound,18,Eastern Thanalan
Men Who See Goats,19,Eastern Thanalan
Attack on Highbridge: Denouement,26,Eastern Thanalan
Attack on Highbridge: Prelude,26,Eastern Thanalan
Desert Rose,26,Eastern Thanalan
Attack on Highbridge: Act I,26,Eastern Thanalan
Attack on Highbridge: Act II,26,Eastern Thanalan
Attack on Highbridge: Act III,26,Eastern Thanalan
Manifest Destiny,27,Eastern Thanalan
Spare the Hair,29,Eastern Thanalan
A Man Rides Through,40,Eastern Thanalan
Bad Hair Day,42,Eastern Thanalan
Quartz Coupling,42,Eastern Thanalan
The Big Bagoly Theory,42,Eastern Thanalan
Downwind,25,Southern Thanalan
Run Like a Flame,26,Southern Thanalan
The Corpse Bribe,27,Southern Thanalan
Bump and Grind,28,Southern Thanalan
Adventures in Throat Slitting,28,Southern Thanalan
Harder Bigger Faster Stronger,28,Southern Thanalan
Soul Man,29,Southern Thanalan
Children of the Sands,31,Southern Thanalan
Fish out of Water,31,Southern Thanalan
From Point A,32,Southern Thanalan
Revenge of the Worms,32,Southern Thanalan
Blood Augur Hex Magicks,32,Southern Thanalan
Heroes of the 2nd,45,Southern Thanalan
Taken,45,Southern Thanalan
Tempered Tempered,46,Southern Thanalan
Book of Pride,46,Southern Thanalan
Call Me Mayhaps,46,Southern Thanalan
Fallen Corpses Writhe in Style,46,Southern Thanalan
Full of Rigor Mortis,46,Southern Thanalan
Bigger than Life,46,Southern Thanalan
An Inconvenient Truth,48,Southern Thanalan
Diamond in the Rough,48,Southern Thanalan
Future Shock,48,Southern Thanalan
He's a Firestarter,48,Southern Thanalan
Gyve Talk,49,Southern Thanalan
Hunters and the Hunted,49,Southern Thanalan
Quenching the Flame,49,Southern Thanalan
Return to Cinder,49,Southern Thanalan
Spark off the Bench,49,Southern Thanalan
